id,code,name
hr_gt_municipio_411,411,Acatenango
hr_gt_municipio_2204,2204,Agua Blanca
hr_gt_municipio_1327,1327,Aguacatán
hr_gt_municipio_913,913,Almolonga
hr_gt_municipio_114,114,Amatitlán
hr_gt_municipio_301,301,Antigua Guatemala
hr_gt_municipio_2205,2205,Asunción Mita
hr_gt_municipio_2207,2207,Atescatempa
hr_gt_municipio_1217,1217,Ayutla
hr_gt_municipio_602,602,Barberena
hr_gt_municipio_1907,1907,Cabañas
hr_gt_municipio_906,906,Cabricán
hr_gt_municipio_907,907,Cajolá
hr_gt_municipio_2005,2005,Camotán
hr_gt_municipio_1418,1418,Canillá
hr_gt_municipio_914,914,Cantel
hr_gt_municipio_604,604,Casillas
hr_gt_municipio_1216,1216,Catarina
hr_gt_municipio_1614,1614,Chahal
hr_gt_municipio_1405,1405,Chajul
hr_gt_municipio_1107,1107,Champerico
hr_gt_municipio_1302,1302,Chiantla
hr_gt_municipio_1013,1013,Chicacao
hr_gt_municipio_1419,1419,Chicamán
hr_gt_municipio_1402,1402,Chiché
hr_gt_municipio_401,401,Chimaltenango
hr_gt_municipio_106,106,Chinautla
hr_gt_municipio_1403,1403,Chinique
hr_gt_municipio_2001,2001,Chiquimula
hr_gt_municipio_608,608,Chiquimulilla
hr_gt_municipio_1613,1613,Chisec
hr_gt_municipio_112,112,Chuarrancho
hr_gt_municipio_312,312,Ciudad Vieja
hr_gt_municipio_920,920,Coatepeque
hr_gt_municipio_1601,1601,Cobán
hr_gt_municipio_917,917,Colomba Costa Cuca
hr_gt_municipio_1319,1319,Colotenango
hr_gt_municipio_404,404,Comalapa
hr_gt_municipio_2211,2211,Comapa
hr_gt_municipio_1204,1204,Comitancillo
hr_gt_municipio_708,708,Concepción
hr_gt_municipio_911,911,Concepción Chiquirichapa
hr_gt_municipio_1322,1322,Concepción Huista
hr_gt_municipio_2008,2008,Concepción las Minas
hr_gt_municipio_1206,1206,Concepción Tutuapa
hr_gt_municipio_2213,2213,Conguaco
hr_gt_municipio_1504,1504,Cubulco
hr_gt_municipio_601,601,Cuilapa
hr_gt_municipio_1304,1304,Cuilco
hr_gt_municipio_1410,1410,Cunén
hr_gt_municipio_1002,1002,Cuyotenango
hr_gt_municipio_1708,1708,Dolores
hr_gt_municipio_2209,2209,El Adelanto
hr_gt_municipio_1109,1109,El Asintal
hr_gt_municipio_1714,1714,El Chal
hr_gt_municipio_1506,1506,El Chol
hr_gt_municipio_1803,1803,El Estor
hr_gt_municipio_205,205,El Jícaro
hr_gt_municipio_919,919,El Palmar
hr_gt_municipio_2202,2202,El Progreso
hr_gt_municipio_1220,1220,El Quetzal
hr_gt_municipio_416,416,El Tejar
hr_gt_municipio_1213,1213,El Tumbador
hr_gt_municipio_501,501,Escuintla
hr_gt_municipio_2007,2007,Esquipulas
hr_gt_municipio_1227,1227,Esquipulas Palo Gordo
hr_gt_municipio_1902,1902,Estanzuela
hr_gt_municipio_1701,1701,Flores
hr_gt_municipio_922,922,Flores Costa Cuca
hr_gt_municipio_113,113,Fraijanes
hr_gt_municipio_1615,1615,Fray Bartolomé de Las Casas
hr_gt_municipio_921,921,Génova
hr_gt_municipio_1505,1505,Granados
hr_gt_municipio_1904,1904,Gualán
hr_gt_municipio_508,508,Guanagazapa
hr_gt_municipio_201,201,Guastatoya
hr_gt_municipio_101,101,Guatemala
hr_gt_municipio_611,611,Guazacapán
hr_gt_municipio_1301,1301,Huehuetenango
hr_gt_municipio_915,915,Huitán
hr_gt_municipio_1910,1910,Huité
hr_gt_municipio_2011,2011,Ipala
hr_gt_municipio_1420,1420,Ixcán
hr_gt_municipio_1223,1223,Ixchiguán
hr_gt_municipio_510,510,Iztapa
hr_gt_municipio_1307,1307,Jacaltenango
hr_gt_municipio_2101,2101,Jalapa
hr_gt_municipio_2212,2212,Jalpatagua
hr_gt_municipio_2208,2208,Jerez
